segment_id,segment confidence,segment utterance count,best_sum_method,best_sum_score,no_summary,direct_summary,recursive_summary,aspect_summary,memory_summary
20148_14,0.85,12,no_summary,0.8064516129032258,0.8064516129032258,0.7746478873239436,0.6736913664174031,0.6491694352159468,0.7754010695187166
20148_15,0.85,11,prior_summary,0.7154405820533549,0.6402289452166803,0.7093311312964492,0.7154405820533549,0.7016949152542373,0.6187175043327556
20148_16,0.8,6,direct_summary,0.8666666666666667,0.8604651162790697,0.8666666666666667,0.8604651162790697,0.7209302325581395,0.7882352941176471
20148_17,0.7,4,direct_summary,0.8933333333333333,0.36363636363636365,0.8933333333333333,0.6404494382022472,0.4666666666666667,0.6619718309859155
20148_18,0.8,9,no_summary,0.8373493975903614,0.8373493975903614,0.6587677725118484,0.7142857142857143,0.5743243243243243,0.7142857142857143
20148_19,0.7,3,prior_summary,0.7209302325581396,0.6842105263157895,0.7209302325581396,0.7209302325581396,0.3271028037383178,0.5764705882352942
20148_20,0.8,7,prior_summary,0.8041958041958042,0.704225352112676,0.7526501766784452,0.8041958041958042,0.8028169014084507,0.5172413793103449
20148_21,0.85,7,direct_summary,0.9438877755511021,0.6799999999999999,0.9438877755511021,0.7083333333333333,0.9438877755511021,0.7821011673151751
20148_22,0.85,10,aspect_summary,0.7670549084858569,0.7643097643097643,0.6984924623115578,0.46488294314381273,0.7670549084858569,0.49494949494949503
20148_23,0.8,8,no_summary,0.7130044843049328,0.7130044843049328,0.6588486140724947,0.4612794612794613,0.6420581655480984,0.40046838407494145
20148_24,0.8,8,prior_summary,0.8114874815905744,0.7534668721109399,0.7163958641063515,0.8114874815905744,0.49279538904899134,0.7068702290076336
20148_25,1.0,6,direct_summary,0.7377049180327868,0.4545454545454545,0.7377049180327868,0.6,0.515850144092219,0.5582822085889572
10612_0,0.8,15,no_summary,0.7727272727272727,0.7727272727272727,0.5909090909090908,0.7398373983739837,0.6763754045307443,0.709051724137931
10612_1,0.6,10,direct_summary,1.0,0.6590909090909091,1.0,0.7771587743732591,1.0,0.8895027624309393
10612_2,0.6,6,direct_summary,0.8226600985221675,0.38604651162790704,0.8226600985221675,0.6504854368932039,0.7156398104265403,0.7044334975369458
10612_3,0.8,6,no_summary,0.7730496453900709,0.7730496453900709,0.6595744680851063,0.7697841726618705,0.536231884057971,0.7697841726618705
10612_4,0.95,10,memory_summary,0.8257839721254355,0.6396396396396397,0.75736568457539,0.4428969359331476,0.7513321492007105,0.8257839721254355
10612_5,0.75,6,aspect_summary,0.875968992248062,0.8158567774936062,0.6825396825396826,0.8153846153846154,0.875968992248062,0.8153846153846154
10612_6,0.6,6,direct_summary,1.0,0.7611940298507462,1.0,0.8177215189873418,1.0,0.7037037037037037
10612_7,0.6,4,aspect_summary,0.6778523489932886,0.6643356643356644,0.6546762589928057,0.6546762589928057,0.6778523489932886,0.6444444444444444
10612_8,0.7,12,prior_summary,1.0,0.746031746031746,0.930635838150289,1.0,0.930635838150289,0.7879234167893961
10612_9,0.8500000000000001,17,memory_summary,0.9743105402342275,0.6879632897987998,0.8716496791241978,0.6399576420755382,0.8768562115175661,0.9743105402342275
10612_10,0.8500000000000001,11,prior_summary,0.7616099071207431,0.7601246105919003,0.6401486988847583,0.7616099071207431,0.75748031496063,0.6401486988847583
10612_11,0.9,20,prior_summary,0.8769861609431061,0.7180261832829808,0.7986914947156517,0.8769861609431061,0.6841066140177691,0.7994987468671679
10612_12,0.8,8,aspect_summary,1.0,0.7635467980295567,0.7009345794392523,0.8333333333333334,1.0,0.6847290640394088
10612_13,0.75,10,memory_summary,0.9075144508670521,0.4774346793349169,0.8511166253101736,0.6230859835100118,0.75093399750934,0.9075144508670521
10612_14,0.9,11,memory_summary,0.6014492753623188,0.5473251028806585,0.5236220472440944,0.4515819750719079,0.56,0.6014492753623188
10612_15,0.8500000000000001,5,direct_summary,0.9267399267399268,0.7909407665505226,0.9267399267399268,0.7802197802197802,0.7269624573378839,0.7269624573378839
10612_16,0.9,6,memory_summary,1.0,0.7525773195876289,0.8769230769230769,0.6317135549872124,0.8134715025906736,1.0
10612_17,0.8,9,memory_summary,0.9117647058823529,0.7488372093023257,0.782608695652174,0.7877358490566038,0.7887323943661971,0.9117647058823529
10612_18,0.6,4,prior_summary,1.0,1.0,0.6483516483516483,1.0,0.6613756613756614,0.827027027027027
10612_19,0.8,8,memory_summary,0.6747967479674797,0.588865096359743,0.6581196581196581,0.4741784037558685,0.6588486140724947,0.6747967479674797
10612_20,0.95,20,direct_summary,0.826699160574059,0.6832101372756072,0.826699160574059,0.7102256896071328,0.7837253311705866,0.7283176593521421
10612_21,0.95,11,aspect_summary,0.869177403369673,0.7340241796200345,0.6882196634189548,0.7176901924839597,0.869177403369673,0.6346863468634687
10612_22,0.8,14,direct_summary,0.9635653871177619,0.7806788511749347,0.9635653871177619,0.9268929503916449,0.8467852257181943,0.8899803536345776
10612_23,0.6499999999999999,12,prior_summary,0.7762237762237763,0.6912280701754385,0.7495652173913043,0.7762237762237763,0.6641399416909621,0.6643356643356644
10612_24,0.85,9,direct_summary,0.6945917285259808,0.615795090715048,0.6945917285259808,0.6531049250535332,0.5728155339805825,0.5764705882352941
15975_0,0.95,5,prior_summary,1.0,0.4463667820069205,1.0,1.0,1.0,0.7769516728624535
15975_1,0.75,9,direct_summary,0.6872964169381108,0.4693877551020408,0.6872964169381108,0.4368715083798883,0.611231101511879,0.5991091314031181
15975_2,0.7,13,no_summary,0.7657657657657657,0.7657657657657657,0.7154228855721392,0.5823293172690762,0.7624365482233503,0.7352342158859471
15975_3,0.7,4,prior_summary,0.6981132075471699,0.41463414634146345,0.6842105263157895,0.6981132075471699,0.6842105263157895,0.6842105263157895
15975_4,0.8,30,direct_summary,0.8423472739216116,0.6778004510793685,0.8423472739216116,0.612983770287141,0.7022332506203474,0.7644492911668483
15975_5,1.0,9,memory_summary,0.7692307692307692,0.6230366492146597,0.5504682622268471,0.5967413441955194,0.5495307612095933,0.7692307692307692
15975_6,1.0,8,memory_summary,0.8306878306878307,0.6180371352785146,0.6631578947368422,0.7446808510638299,0.6631578947368422,0.8306878306878307
15975_7,0.9,8,prior_summary,0.8947368421052632,0.7987421383647799,0.8383838383838383,0.8947368421052632,0.5573122529644269,0.8947368421052632
